playerid,salary,rookie,position,games,rbi,avg
1,3750000,0,2,85,30,0.237
2,3175000,0,2,54,12,0.292
7,7500000,0,7,15,9,0.347
9,3000000,0,8,123,34,0.205
10,700000,0,2,100,49,0.249
12,4500000,0,3,134,52,0.283
13,3000000,0,2,68,31,0.246
14,6250000,0,4,85,28,0.245
16,1050000,0,11,87,10,0.21
17,4600000,0,4,138,58,0.307
19,1500000,0,11,35,4,0.132
21,13000000,0,7,158,100,0.236
22,8282695,0,9,143,71,0.249
23,5000000,0,9,86,32,0.217
24,4500000,0,6,94,27,0.265
25,4750000,0,5,116,22,0.276
26,3500000,0,4,113,36,0.28
28,6666666,0,7,52,23,0.209
29,9500000,0,9,154,96,0.292
30,1000000,0,7,86,22,0.245
33,800000,0,9,133,60,0.247
35,6300000,0,4,155,57,0.296
36,12379883,0,2,111,35,0.276
37,18929923,0,7,153,121,0.332
38,4150000,0,4,145,52,0.271
39,5500000,0,7,162,110,0.293
40,950000,0,4,113,44,0.269
41,5850000,0,2,134,60,0.281
42,12000000,0,3,122,62,0.24
43,2025000,0,7,85,45,0.246
48,1600000,0,2,95,41,0.276
54,439000,0,7,76,27,0.248
59,3600000,0,3,151,69,0.219
60,405000,0,4,112,40,0.305
63,410000,0,2,37,9,0.176
71,10000000,0,3,162,146,0.251
73,2400000,0,4,152,48,0.274
78,423500,0,2,40,18,0.212
82,430000,0,7,148,65,0.257
85,417000,0,4,146,92,0.26
91,406000,0,8,154,76,0.29
101,424500,0,9,140,77,0.305
121,406000,0,5,134,59,0.26
122,1750000,0,5,27,4,0.203
123,4750000,0,4,149,87,0.285
125,14726910,0,8,69,14,0.158
127,8000000,0,8,109,55,0.235
128,13870949,0,3,147,116,0.357
129,2000000,0,7,135,47,0.261
132,4900000,0,2,105,38,0.257
134,3000000,0,5,130,58,0.249
137,1050000,0,4,60,9,0.26
138,4350000,0,5,109,58,0.285
146,800000,0,3,67,17,0.322
147,400000,0,2,24,5,0.083
149,12600000,0,7,143,84,0.293
150,5000000,0,4,117,41,0.233
151,16000000,0,3,159,115,0.271
156,9400000,0,9,125,46,0.242
162,5100000,0,5,96,55,0.248
163,416600,0,6,127,37,0.286
164,3350000,0,9,147,97,0.305
165,7785714,0,4,159,104,0.292
171,1812500,0,2,123,56,0.304
175,412000,0,2,115,69,0.318
179,1450000,0,3,142,74,0.272
181,1275000,0,10,76,21,0.182
184,2500000,0,7,133,73,0.307
186,3000000,0,4,159,72,0.271
187,405000,0,4,105,44,0.29
197,1200000,0,6,79,37,0.269
199,6383333,0,2,109,39,0.227
204,425000,0,2,109,31,0.219
205,401000,1,2,140,86,0.285
208,428000,0,6,149,38,0.307
214,461200,0,8,121,37,0.249
260,2400000,0,5,115,31,0.243
265,900000,0,7,78,9,0.22
267,2800000,0,5,105,14,0.226
268,3750000,0,7,111,47,0.238
270,3000000,0,9,95,28,0.22
271,3800000,0,3,144,72,0.234
273,7000000,0,8,110,49,0.276
277,1000000,0,3,100,28,0.241
279,800000,0,8,94,38,0.301
280,1875000,0,2,92,18,0.216
281,6250000,0,4,107,41,0.305
282,1700000,0,9,129,67,0.273
284,2237500,0,2,57,16,0.202
285,3850000,0,3,26,8,0.159
286,4450000,0,2,73,35,0.278
287,1900000,0,6,74,18,0.21
289,2750000,0,10,80,39,0.268
293,5916666,0,9,71,36,0.249
294,800000,0,7,133,43,0.251
295,2050000,0,2,83,41,0.255
296,12500000,0,3,157,121,0.308
297,435000,0,2,37,8,0.261
299,955000,0,11,85,12,0.194
303,431100,0,6,130,49,0.265
305,875000,0,3,161,119,0.279
308,4387500,0,5,155,99,0.286
309,425000,0,2,78,49,0.273
310,439000,0,6,153,67,0.301
312,6250000,0,2,146,85,0.328
316,600000,0,6,103,15,0.217
325,9500000,0,7,139,88,0.321
327,5500000,0,4,96,33,0.293
328,400500,0,2,69,18,0.255
329,400000,0,5,42,13,0.184
336,1875000,0,2,111,64,0.237
341,420100,0,3,141,90,0.273
350,406000,1,8,140,47,0.28
357,400000,0,9,38,25,0.226
372,1111666,1,4,135,77,0.29
377,14500000,0,3,159,106,0.312
378,9250000,0,6,82,22,0.268
379,1200000,0,11,85,17,0.216
381,11625000,0,5,115,50,0.262
382,6750000,0,3,157,69,0.27
383,2000000,0,6,60,9,0.27
384,4500000,0,4,86,24,0.299
385,2850000,0,6,129,24,0.263
386,1800000,0,9,110,12,0.267
387,12500000,0,5,111,73,0.274
388,14250000,0,7,157,86,0.25
391,2000000,0,7,63,10,0.205
393,8000000,0,7,119,28,0.283
396,5375000,0,7,108,57,0.273
402,7826914,0,5,135,104,0.285
405,18622809,0,8,161,112,0.284
407,500000,0,10,42,12,0.286
410,15768174,0,9,146,103,0.317
412,1275000,0,7,100,56,0.241
413,700000,0,8,98,43,0.296
419,1400000,0,7,115,59,0.244
426,430000,0,4,150,69,0.287
429,670000,0,3,159,102,0.276
430,406000,0,8,111,31,0.248
434,405000,0,7,102,51,0.254
438,414000,0,9,125,40,0.238
446,400000,0,7,26,9,0.29
449,402500,0,6,120,43,0.266
451,425000,0,8,152,94,0.276
452,2500000,0,6,154,89,0.276
457,1056000,0,4,129,46,0.234
458,412100,0,8,145,67,0.273
459,403000,0,4,104,48,0.268
464,500000,0,2,155,69,0.28
465,966666,0,2,145,87,0.301
466,1440000,0,7,150,69,0.29
481,455000,0,7,151,106,0.285
482,400000,0,2,90,59,0.256
492,402500,0,6,133,60,0.288
495,1100000,0,5,113,53,0.24
497,4925000,0,5,126,55,0.225
498,5000000,0,9,105,29,0.246
499,15500000,0,3,91,36,0.221
501,5000000,0,2,65,15,0.243
504,3500000,0,2,28,9,0.202
506,13250000,0,3,155,90,0.291
510,1800000,0,8,118,53,0.298
511,8000000,0,6,137,59,0.277
515,410000,0,7,148,77,0.231
516,5000000,0,7,120,41,0.243
517,4500000,0,5,106,40,0.247
518,6250000,0,2,144,95,0.292
520,7500000,0,4,128,45,0.289
521,14811414,0,6,157,66,0.283
524,3687500,0,8,108,78,0.3
526,1750000,0,2,41,7,0.26
527,8000000,0,10,154,108,0.304
529,1000000,0,8,71,9,0.279
530,6250000,0,8,120,70,0.243
533,6174974,0,6,155,82,0.284
534,1400000,0,7,93,40,0.293
535,3820000,0,10,58,29,0.202
536,5000000,0,3,50,10,0.28
537,750000,0,11,125,30,0.277
538,13000000,0,10,109,89,0.264
539,525000,0,6,77,20,0.218
540,23428571,0,3,145,96,0.247
541,5500000,0,3,38,20,0.22
543,13100000,0,2,51,22,0.268
545,750000,0,11,91,15,0.253
546,409500,0,2,17,2,0.19
549,444000,0,9,157,91,0.268
552,11300000,0,3,160,127,0.292
553,650000,0,5,125,37,0.246
554,450000,0,5,145,68,0.251
558,400000,1,2,51,14,0.187
562,1400000,0,4,130,31,0.317
565,415000,0,6,97,39,0.277
567,2000000,0,9,90,49,0.276
